id,title,overview,popularity,poster,genre_ids,vote_avg,keywords
1228246,Five Nights at Freddy's 2,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",0.1903875944091638,/udAxQEORq2I5wxI97N2TEqdhzBE.jpg,"[27, 53]",0.6793,"['killer robot', 'pizzeria', 'sequel', 'serial killer', 'security guard', 'based on video game', 'theme park', 'dead children', 'aftercreditsstinger', 'duringcreditsstinger', 'haunted attractions', 'night guard', 'animatronic', 'possessed doll', 'supernatural horror', 'ghost child', 'slasher horror', 'android horror']"
1512623,Risqué,"Fired from a strip club, a vengeful dancer masterminds a high-stakes heist with fellow strippers to take down the corrupt boss and the men who underestimate them.",0.18887884974231084,/h6OsRrDwbspLnKMvlFl57QFDP7d.jpg,"[28, 80, 53]",0.7449,"['stripper', 'heist', 'revenge thriller']"
1208348,Rental Family,"An American actor in Tokyo struggles to find purpose until he lands an unusual gig: working for a Japanese 'rental family' agency, playing stand-in roles for strangers. As he immerses himself in his clients' worlds, he begins to form genuine bonds that blur the lines between performance and reality.",0.17877968155948928,/A5lswNlytTUrnMWsuD0NFfhZlf3.jpg,"[35, 18]",0.7731,"['self-discovery', 'tokyo, japan', 'expatriate', 'surrogate father', 'actor', 'rental family', 'human connection', 'intergenerational friendship', 'blurred reality']"
982843,The Great Flood,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",0.175715184732593,/1tUOZQDgZaGqZtrB21MieiXARL2.jpg,"[878, 12, 18]",0.6000000000000001,"['climate change', 'natural disaster', 'global warming', 'transhumanism', 'flood', 'admiring']"
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,0.1755594724114002,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,"[28, 80, 53]",0.7028,['excited']
533533,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",0.14520967202676138,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,"[878, 12, 28]",0.6553,"['artificial intelligence (a.i.)', 'computer program', 'simulation', 'computer simulation', 'sequel', 'business rivalry', 'real world', 'absurd', 'digital world']"
1445698,The Pearl Comb,"A doctor, hell-bent on proving a woman’s place is in the home and not practising medicine, is sent to investigate her miraculous claim - only to discover the source of her unearthly power...",0.1463697777857865,/737hppvYVz8Wx9I2McyQPHCD7PB.jpg,[27],0.7000000000000001,"['village', 'medicine', 'small village', '1800s', 'powers', 'cornish']"
550,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",0.08105090735234409,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,"[18, 53]",0.8438000000000001,"['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']"
1137179,Yadang: The Snitch,"Navigating both the criminal underworld and law enforcement agencies, professional snitches called ""yadang"" provide covert information about the drug world to prosecutors and police. When a drug bust at a party attended by high-profile second-generation VIPs entangles those involved into a dangerous conspiracy, a seasoned yadang must do everything in his power not just to make it out on top, but alive.",0.14705510786358975,/y7dsDbG8zVWkrkyOhA6ckZXX1uC.jpg,"[80, 28, 35, 18, 53]",0.6970000000000001,['drugs']
1439112,Muzzle: City of Wolves,"LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones.",0.14914380747767783,/8qTMRmC07XCGidnKQFLbRM3FoDU.jpg,"[28, 53, 9648]",0.6769000000000001,"['police dog', 'lapd']"
